49916,FUNDAMENTOS DE FÍSICA,default
45076,MATEMÁTICA DISCRETA,default
36936,ÁLGEBRA LINEAR,default
36717,CÁLCULO I,default
36718,GEOMETRIA ANALÍTICA,default
32616,INTRODUÇÃO À ENGENHARIA ELETRÔNICA E DE TELECOMUNICAÇÃO,default
36722,LABORATÓRIO DE PROGRAMAÇÃO DE COMPUTADORES I,default
36721,PROGRAMAÇÃO DE COMPUTADORES I,default
36760,FÍSICA GERAL I,default
36770,LABORATÓRIO DE FÍSICA GERAL I,default
36944,LABORATÓRIO DE SISTEMAS DIGITAIS,default
48296,GEOMETRIA ANALÍTICA,default
29834,ALGORITMOS E ESTRUTURAS DE DADOS I,default
29838,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,default
29608,SEMINÁRIOS I,default
40533,ALGORITMOS E ESTRUTURAS DE DADOS II,default
40536,ARQUITETURA DE COMPUTADORES I,default
40356,SEMINÁRIOS II,default
40350,ARQUITETURA DE COMPUTADORES II,default
40357,SEMINÁRIOS III,default
40556,ENGENHARIA DE SOFTWARE I,default
40540,LINGUAGENS DE PROGRAMAÇÃO,default
40564,EMPREENDEDORISMO,default
40359,SEMINÁRIOS V,default
46773,PROBABILIDADE E ESTATÍSTICA (Virtual),default
29835,GEOMETRIA ANALÍTICA,default
29609,SEMINÁRIOS II,default
48301,CÁLCULO II,default
29837,MATEMÁTICA DISCRETA I,default
29610,SEMINÁRIOS III,default
40358,SEMINÁRIOS IV,default
40538,ALGEBRA LINEAR,default
40526,ALGORITMOS E ESTRUTURAS DE DADOS I,default
40353,BANCOS DE DADOS,default
40558,COMPUTAÇÃO GRÁFICA,default
40537,ESTATÍSTICA E PROBABILIDADE,default
40534,FÍSICA PARA COMPUTAÇÃO,default
40527,GEOMETRIA ANALÍTICA,default
40539,GRAFOS E TEORIA DA COMPLEXIDADE,default
40542,INICIAÇÃO À PESQUISA EM CIÊNCIA DA COMPUTAÇÃO,default
40555,INTERAÇÃO HOMEM COMPUTADOR,default
40530,INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO,default
40545,MATEMÁTICA COMPUTACIONAL,default
40529,MATEMÁTICA DISCRETA I,default
40352,MATEMÁTICA DISCRETA II,default
40354,PROJETO E ANÁLISE DE ALGORITMOS,default
40559,REDES DE COMPUTADORES II,default
40355,SEMINÁRIOS I,default
40562,TÓPICOS EM COMPUTAÇÃO I,default
40349,ALGORITMOS E ESTRUTURAS DE DADOS III,default
40360,SEMINÁRIOS VI,default
40546,SISTEMAS OPERACIONAIS,default
